kr,en
미국 연방준비제도(Fed·연준)가 오는 25∼26일(현지시간) 기준금리를 추가로 인상하는 방안이 확실시되면서 최근 금융위기를 겪고 있는 신흥국들에 적지 않은 타격을 줄 전망이다.,The US Federal Reserve System (Fed) is expected to deal a significant blow to the emerging economies that are suffering from the financial crisis as it confirms to raise the standard interest rate further on May 25th to 26th (local time).
최근 한국농수산식품유통공사(aT)가 전국 19개 지역 18개 전통시장과 27개 대형유통업체 등으로 성수품 28개 품목의 가격을 조사한 결과 전년 대비 각각 6.9%와 4.9% 증가했다고 밝혔다.,"Recently, the Korea Agro-Fisheries and Food Trade Corporation (aT) surveyed the prices of 28 items of the peak season products in 18 traditional markets and 27 large retailers marts in 19 regions of the country, and reported that they increased by 6.9% and 4.9% respectively from a year earlier."
이번 업무협약으로 KEB하나은행과 한국벤처투자㈜는 총 1100억원을 공동 출자해 모(母)펀드를 조성하고 향후 개별펀드 결성시 민간 출자자금이 더해져 약 3000억원 규모의 투자재원이 조성될 전망이다.,"Under this agreement, KEB Hana Bank and Korea Venture Investment Corp. will jointly invest a total of 110 billion won to create a parent fund, and, once private investment funds is added in the future, the investment source about 300 billion won will be created with private investment funds."
신한은행의 M&A 자문팀은 기업 M&A에 관심이 있는 중소기업 CEO를 대상으로 지난 3년간 44건의 중소기업 M&A 거래를 성사시켰다.,Shinhan Bank's M&A Advisory Team has completed 44 small and medium-sized companies' M&A deals for the CEOs interested in M&A over the past three years.
"정부가 세제와 금융, 공급대책을 포함한 고강도 부동산대책을 발표한 13일 서울 잠실의 한 아파트 상가 내 부동산 중개업소들이 한산한 모습을 보이고 있다.","Real estate brokerages in an apartment mall in Jamsil, Seoul, are appear to be quiet on the 13th when the government announced the high-intensity real estate measures including tax, finance and supply measures."
지난해 분양한 수색4구역을 재개발한 단지 ‘DMC롯데캐슬 더 퍼스트’(롯데건설 시공)은 1순위 청약에서 37대 1의 경쟁률을 기록할 만큼 수요자들이 몰렸다.,"DMC Lotte Castle The First (Lotte Engineering & Construction), which was built on the redevelopment of the Susaek Zone 4,  attracted so many demanders that the competition rate for the first place was 37 to 1."
최근 욜로 뷰티퀸의 모델로 발탁된 배우 오현경의 ‘욜로 갱년기 여성(이하 욜로 뷰티퀸)’ TV CF 광고 이후 욜로 뷰티퀸에 대한 관심이 급증하고 있다.,"The interest in Yolo's beauty queen has been growing rapidly since actress Oh Hyun-kyung's TV commercial for Yolo Menopause Women, which was recently selected as the model for Yolo Beauty Queen."
추석 연휴 후 10월 전국 3만4581가구가 입주 예정인 가운데 입주가 임박한 서울과 신도시 주요 지역 분양권에 분양가 대비 2억∼3억씩 프리미엄이 붙어 거래되고 있는 것으로 전해졌다.,"After the Chuseok holiday, 34,581 households nationwide are scheduled to move in October, and it is reported that premiums between 200 and 300 million won are added on pre-sale rights in Seoul and new towns that are about to move in."
"상가, 오피스텔 등 수익형 부동산 역시 주택 규제의 영향으로 투자 문의가 급등하는 등 대체 투자지로 주목받고 있다.","Profitable real estate such as shopping malls and studio apartments is also drawing attention as an alternative investment site, with inquiries for investment soaring due to the impact of housing regulations."
그룹 몬스타엑스 소속사 스타쉽엔터테인먼트 측은 19일 “몬스타엑스의 이본 싱글 ‘리빙 잇 업’이 오리콘 데일리 싱글 차트 1위와 타워레코드 주간차트 1위를 차지했다”고 밝혔다.,"The boy group Monsta X's agency Starship Entertainment said on the 19th that ""Monsta X's single, Living It Up, ranked top on the Oricon Daily Single Chart and the Tower Records Weekly Chart."
정부의 통신비 인하 정책에 알뜰폰이 가격 경쟁력을 잃고 고사 위기에 몰리자 정부와 이통통신사들이 상생 방안을 내놓은 것이다.,"As cell phone for sub-brands of major mobile brands is on the verge of losing its price competitiveness and dying due to the government's policy to cut telecommunication costs, the government and mobile telecommunication companies have come up with a win-win plan."
이번 모금액은 매주 금토일 경마일에 마사회 인천중구지사를 이용하시는 경마고객이 객장에 비치된 천사기부함에 소액 기부를 꾸준히 마련된 것이다.,"The amount of donation was made by horse racing customers who visit Incheon Jung-gu branch of the Korean Horse Affairs Association donated small donation to the angelic donation box equipped in the customer lounge on the horse racing day, every Friday, Saturday and Sunday."
신호순 한국은행 부총재보가 20일 오전 서울 중구 한은 기자실에서 열린 ‘금융안정상황 2018년 9월’ 기자설명회에 참석해 발언을 하고 있다.,"Bank of Korea Vice President Shin Ho-soon speaks at a press briefing on the Financial Security Situation In September 2018 at the BOK's pressroom in Jung-gu, Seoul on the morning of the 20th."
여기에다 정부가 지난해 8·2 대책을 내놓으며 주택담보대출을 규제하고 임대사업자에게 세제 혜택을 제공하자 사업자 대출로 몰리는 ‘풍선효과’도 발생한 것으로 보인다.,"In addition, as the government introduced the August 2 measures last year to regulate mortgage loans and provide tax benefits to lease business operator, it seems that there was a Balloon Effect that is being driven to business loan."
이마트는 “차례상을 차리지 않는 가구가 늘어난 것은 물론 차려도 간소화하게 하는 것이 최근 명절 트렌드”라고 설명했다.,"E-Mart explained that ""The recent holiday trend is not only to increase the number of households that do not set the memorial service table but also to simplify the table."""
당내에서는 홍 전 대표가 내년 초로 예상되는 한국당 전당대회 출마 등 정계복귀를 준비하고 있다는 얘기가 나온다.,"Some inside the party say that the former Representative Hong is preparing to return to politics, including running for the party's national convention early next year."
"한국마사회 인천중구센터는 80명의 관내 생활이 어려운 주민들에게 온누리상품권 800만원을 전달했으며, 이 상품권을 국제신포시장에서 사용함으로써 재래시장 상권 활성화에 기여하도록 지원했다.","The Incheon Jung-gu Center of Korean Horse Affairs Association has delivered 8 million won of Onnuri Gift Vouchers to 80 residents in need of living within the area, and has contributed to the revitalization of commercial markets by using these gift vouchers in the international Sinpo Market."
"카풀에 찬성하는 이유로는 ‘택시 업계 독점으로 인한 승차거부, 불친절 등 병폐 해소가 가능하다’는 의견이 가장 많았다.",The most common reason for the carpool was that it is possible to eliminate ills such as refusal to ride and unkindness due to the Monopoly of the Taxi Industry.
"정부가 실수요자 추격매수를 막기 위해 수도권 30만 가구 공급 청사진을 제시했고, 올 4분기 서울 입주물량도 2만526가구로 큰 규모의 분양시장이 예상되기 때문이다.","The government has provided a blueprint for supplying 300,000 households in the metropolitan area in order to prevent the purchase chasing to real buyers, because the number of new apartments in Seoul in the fourth quarter of this year is expected to reach 20,526."
의혹이 불거진 후 미미쿠키 측에 환불요청이 쇄도하자 자신의 잘못을 인정하면서도 “일부 상품만 그렇다”는 식의 해명을 내놨다.,"After the suspicions were raised, Mimi Cookie received a flood of requests for refunds, and it admitted that it had made a mistake, but offered an explanation that ""Only some products were involved."""
현대·기아자동차 등 국내 자동차업체들의 경우 미국과 중국 간 무역분쟁으로 인한 직접적인 피해는 없지만 보호무역주의 확산으로 글로벌 업계가 위축되면 악영향을 피할 수 없다.,"Domestic automakers, including Hyundai and Kia Motors, are not directly affected by trade disputes between the U.S. and China, but if the global industry shrinks due to the spread of protectionism, it cannot avoid adverse effects."
"의전 차량은 중요 인사들의 안락한 이동 외에도 안전을 담보하는 수단이기도 한 만큼, 다양한 고려가 필수적으로 수반된다.","As a vehicle is a means of ensuring safety in addition to the comfortable movement of important people, a variety of considerations are essential."
지난 6월 싱가포르에서 진행된 북미정상회담에서 미국의 도널드 트럼프 대통령이 탄 의전차량 ‘캐딜락 원’이 주목받은 바 있다.,"At the U.S.-North Korea summit held in Singapore in June, the Cadillac One, the protocol vehicle carrying US President Donald Trump, was noted."
"역귀성 상품은 판매 기한을 출발 2일 전에서 당일까지로 변경, 전년 대비 두 배 이상 증가한 3만7000명이 이용하며 역대 최고 판매를 기록했다.","After sales period of products for the reverse train for holiday were changed from two days before departure to the same day, it was used by 37,000 people, more than doubling from a year earlier, marking the highest sales ever."
제도적 허점을 파고든 투기꾼들이 부동산 거래질서를 혼란에 빠뜨리는 동안 지자체와 사법당국은 이를 강 건너 불 보듯 해왔다.,"While speculators digging into institutional loopholes confuse real estate transactions, local governments and law enforcement authorities merely looked on."
"대한상의가 기업 연구·개발(R&D) 관련 세제 지원 확대, 경영 애로 수출 기업에 대한 세정 지원 등을 국세청에 건의했다.",Korea Chamber of Commerce and Industry proposed to the National Tax Administration to expand tax support for businesses R&D and to provide tax administration support for export companies who are suffering management errors.
올해 상반기 전체 보험 가입자의 일치 계약 보험상품의 해약 건수도 지난해 상반기보다 28만6240건이 늘어난 251만4519건에 달해 5년 사이 가장 높은 수치를 기록했다.,"In the first half of this year, the number of cancellations of matching contract insurance products by all policyholders also reached 2,514,519 cases, up 286,240 from the first half of last year, marking the highest figure in five years."
"유보신고제는 1위 통신사도 신규 요금제를 출시할 때 신고만 하도록 전환하되, 그 요금제의 부작용이 클 경우 정부가 요금제 출시를 취소하는 제도다.","The report reservation system will be changed to require No. 1 telecommunications company to report only when it releases a new rate plan, but if the adverse effects of the plan are large, the government cancels the launch of the rate plan."
전북 전주의 한 아파트 욕실에서 공동주택 권고 기준의 10배를 넘는 라돈이 검출돼 입주민들이 불안해하고 있다.,"Residents are anxious about the detection of radon, which is more than 10 times the recommended standard for apartment buildings, in a bathroom of an apartment building in Jeonju, North Jeolla Province."
이번 컬렉션은 숨은그림찾기처럼 정교하고 위트있는 디테일의 포인트를 찾아내는 재미가 가득한 컨셉으로 0914 브랜드만의 고유한 스토리를 담아 제작됐다.,This collection is a fun-filled concept of finding the finest and witty detail like a picture puzzle and is made with a unique story of the brand 0914.
"이낙연 국무총리, 김현미 국토교통부 장관과 여권에서 잇따라 “집값을 잡기 위해서 금리를 올려야 한다”는 말이 나오고 있다.","In the case of Prime Minister Lee Nak-yeon, Minister of Land, Infrastructure and Transport Kim Hyun-mi and the ruling party, are saying in succession that ""Interest rates should be raised to curb rising housing prices."""
싸이닉 더 심플 시카 밤은 11번가 등 온라인몰에서 구매할 수 있으며 11번가 싸이닉 스토어에서 출시기념 이벤트로 특별할인 및 11종 GIFT 증정 이벤트를 진행한다.,"The Psychic, The Simple Cica Balm, is available to be purchased at online malls such as 11st and it will hold special discounts and 11 kinds of gift events as a launch anniversary event at the 11st Psychic Store."
지난 달 28일 강승진 서울연회 감독이 ‘감독회장 직무대행’을 선출하기 위해 소집한 세 번째 임시 총회실행부위원회가 또다시 정족수 미달로 무산됐다.,"On the 28th last month, the third extraordinary general meeting executive committee, convened by Kang Seung-jin, director of the Seoul Banquet, to elect the Acting Director of the Superintendent, again failed due to a lack of quorum."
미국 경제의 활황은 임금 올리는 걸 우선할 게 아니라 기업 활동이 활발해져 일자리가 늘고 자연히 임금이 오르는 상식을 따라야 함을 보여준다.,"The boom in the US economy does not prioritize raising wages, but rather demonstrates that corporate activity is so active that jobs should naturally follow the common sense of rising wages."
지난 10년간 전체 법인 부동산 증가량의 87.6%(면적기준)를 상위 1%에 속한 재벌 기업들이 독식했다는 뜻이라고 경실련은 설명했다.,"The Citizens' Coalition for Economic Justice explained that over the past 10 years, 87.6% (area-based) of total corporate real estate growth has been dominated by chaebol companies in the top 1%."
"이 가운데 주택마련 비용이 1억8640만원으로 가장 많이 차지했고, 예식장비 1905만원, 예물 1798만원, 예단 1767만원 순이었습니다.","Housing expenses accounted for the most, at 186.4 million won, followed by 19.05 million won for wedding equipment, 17.98 million for wedding presents, and 17.67 million won for weddings."
맥주에 매기는 세금을 가격(종가세)이 아닌 양(종량세)을 기준으로 적용할 경우 국산 맥주 가격이 1캔당 평균 363원 저렴해진다는 분석이 나왔다.,"According to the analysis, if the tax on beer is applied based on the amount (volume tax), not the price (specific tax), the average price of domestic beer will be lowered by 363 won per can."
"수제맥주 업계는 종량세를 도입해 수제맥주 업체 수가 늘어나면 직접 고용은 1만명, 관련 산업 유발효과까지 포함하면 약 4만6000개 이상의 일자리가 창출될 것이라고 예상한다.","The craft beer industry expects to introduce more than 46,000 jobs if the introduction of specific tax increases the number of craft beer producers to hire 10,000 people with related industry-inducing effects. "
한국판 블랙프라이데이인 ‘코리아 세일 페스타’ 기간에 백화점 ‘빅3’(롯데·신세계·현대)의 매출 신장률이 한 자릿수에 그친 것으로 나타났다.,"It has been revealed that sales growth rate of Big 3 (Lotte, Shinsegae, and Hyundai) at department stores was only a single digit during Korea Sale Festa, which is a Korean version of Black Friday."
"특히 강서지역에서 생산되는 대저토마토는 낙동강 하구 퇴적층에 축적된 풍부한 미네랄을 흡수해 검은 빛이 돌고, 달콤하면서 짭짤하고 새콤한 맛이 나 ‘짭짤이 토마토’로도 불린다.","In particular, Daejeo tomatoes, which are produced in Gangseo District, are also called Salty Tomatoes because they absorb the abundant minerals accumulated in sedimentary layers at the estuary of the Nakdong River, which turns black and tastes sweet and sour."
창업 2년 만에 셀럽들에게 사랑 받는 패브릭퍼퓸 전문업체로 거듭난 로즈마(대표 류재득)가 국내 최대 중소기업 우수상품 박람회 G-FAIR KOREA 2018(GFK 2018)에 참가한다고 전해왔다.,"Rosema (CEO Ryu Jae-deuk), who has been reborn as a fabric specialist company loved by celebrities two years after its launch, has said that he will participate in G-FAIR KOREA 2018 (GFK 2018), Korea's largest fair for small and medium-sized companies."
"입주 기준을 초과하는 고가 차량 소유자 중 임대료를 연체한 사람은 20명으로, 연체 금액은 총 348만7640원이었다.","Among the owners of expensive vehicles exceeding the occupancy standards, 20 people had overdue rents, and the amount of overdue payments was 3,487,640 won."
판매자는 “거부감을 느낄 수 있는 외형이지만 손에 쥐는 순간 생각이 바뀌게 된다”면서 제품에 가슴이 한쪽씩 들어있으니 2개를 함께 사라고 권했다.,"""It's a rejection-like face, but when you get your hands on it, it changes your mind,"" the seller said. ""The product has one breast, so you should buy two together."""
한국소비자원은 지난 1∼9월 1372소비자상담센터에 접수된 탑항공 더좋은여행 e온누리여행사 싱글라이프투어 관련 소비자 불만 상담이 총 773건이었다고 10일 밝혔다.,"Korea Consumer Resources said on the 10th that there were a total of 773 customer complaints related to Single Life Tour, a top travel e-Onnuri travel agency, received at the 1372 Consumer Consultation Center during January to September."
"윤석헌 금융감독원장은 12일 금감원이 금융회사 채용과 보험금 지급, 대출금리 책정 등 시장에 지나치게 개입한다는 지적에 “선을 넘지 않도록 유념하겠다”고 답변했다.","Yoon Seok-hun, director of the Financial Supervisory Service, said on the 12th that he will keep in mind that the FSS will not cross the line when asked about its excessive intervention in the market, including hiring financial firms, paying insurance premiums and setting loan rates."
그동안 ‘마이 스타벅스 리워드 회원’을 대상으로 발급하던 전자영수증을 지난 6월부터 회원 전원(400만명)에게 자동 발급하면서 지난달까지 절감된 종이영수증이 누적 1억건을 돌파했다.,"The number of e-receipts, which had been issued to members of My Starbucks Rewards since June, has been automatically issued to all of its members (4 million). The number of paper receipts saved until last month has surpassed 100 million. "
프랑스 식당 평가서 ‘미슐랭 가이드’가 오는 18일 서울 편 발간을 앞두고 ‘빕 그루망(Bib Gourmand)’ 레스토랑 명단을 11일 발표했다.,"The French restaurant evaluation book ""The Michelin Guide"" on the 11th announced the list of Bib Gourmand restaurants ahead of its release on the Seoul side on the 18th."
"최근 4년간 한국교통안전공단(이하 공단)이 접수받은 자동차 결함 관련 제보 건수는 2015년 4776건, 2016년 5015건, 2017년 6411건으로 매년 증가했다.","In the past four years, the number of complaints related to automobile defects received by the Korea Transportation Safety Authority (the following TS) has increased every year: 4,776 in 2015, 5,015 in 2016, and 6,411 in 2017."
"국민일보가 추경호 자유한국당 의원이 14일 공개한 인사혁신처 자료를 분석한 결과, 최근 5년간 기업의 사외이사 취업을 위해 심사를 받은 공무원은 177명에 이른다.","According to an analysis of the personnel innovation department data released by the Kookmin Ilbo on the 14th by Rep. Choo Kyung-ho of the Liberty Korea Party, 177 civil servants have been screened for the employment of outside directors of companies over the past five years."
"이창목 센터장은 “경기 불안 요인들이 있으면 채권 가격이 올라가고, 채권은 기본적으로 이자가 나와 관심을 가져볼 만하다”고 설명했다.","Lee Chang-mok, director of the center, said, “If there are economic instability factors, bond prices will rise, and bonds will have interest basically so it worth being interested in.”"
"이날 행사에는 Mercedes-Benz Korea 디미트리스 실라키스 대표, 도로교통공단 윤종기 이사장, 국립 목포해양대학교 박성현 총장, 전자부품연구원 박청원 원장 등이 참여해 자리를 빛냈다.","The event was attended by representatives of Mercedes-Benz Korea Dimitris Silakis, Chairman of the Korea Transportation Corporation, Yoon Jong-Kee, President of the Mokpo National Maritime University, Park Sung-Hyun, and the Director of Electronic Components Research Institute Park Cheong-Won, gracing the occasion with their presence."
셀큐베이터 ㈜닥터에이(대표이사 서윤숙)가 국민대학교 평생교육원 학점은행제 건강미용경영 과정(주임 교수 장매화)과 15일 오후 2시 국민대학교 종합복지관에서 산학협력을 체결했다.,The Cellcubator (CEO Seo Yoon-sook) signed a joint industrial and academic cooperation at Kookmin University's General Welfare Center at 2 p.m. on the 15th with a course on health and beauty management (head professor Chang Mae-hwa) at Kookmin University's Lifelong Education Center.
이제는 법령에 권리를 명시하고 금융사가 이를 제대로 알리지 않았을 때 과태료 등의 처벌을 내릴 수 있게 될 전망이다.,It is now expected that the statute will stipulate the rights and punish financial companies for failing to properly notify them of the law.
"서울 강북 지역 한 중개업자는 “가격이 많이 오른 단지는 단지대로, 상승폭이 작은 단지는 그 나름대로 ‘뒤처져선 안 된다’는 생각에 가격 담합을 멈추지 않는 분위기”라고 전했다.","A broker in northern Seoul said, ""The atmosphere is that the price-fixing is not stopping because the complex with a lot increase and the complex with a small increase think that ""We should not to be turned back."""
"목요일인 모레 18일엔 강원도와 충북, 경북, 경남동해안은 동풍의 영향으로 가끔 비가 오는 곳이 있겠고 강원산지엔 새벽에 눈이 오는 곳도 있겠습니다.","Provinces of Kangwon, Chungbuk, Gyeongbuk and the east coast of Gyeongnam province in the day after tomorrow, Thursday, on the 18th, may be rainy due to the influence of the east wind and there are some places where snow at dawn in the mountains, Gangwon Province."
파나마와 축구 국가대표 평가전을 하루 앞둔 15일 오후 충남 천안종합경기장에서 한국 선수들이 가벼운 게임을 하며 몸을 풀고 있다.,"On the afternoon of the 15th, Korean players warm up by playing light games at Cheonan Stadium in South Chungcheong Province, just one day before the national soccer team's warm-up match against Panama."
남자배우가 편리하게 불고기를 구워 음식을 준비하는 장면에 등장해 간편함과 예쁜 외관으로 프로그램 패널인 연예인 엄마들과 시청자들의 눈길을 잡았다.,"The actor appeared in a scene where he prepared food by grilling Bulgogi conveniently, catching the eyes of celebrity mothers, a program panel, and viewers with its simplicity and pretty appearance."
특성화고 진학 목적인 ‘빠른 취업’ ‘진학비용 마련’ 등의 현실은 고려하지 않고 취업 기회가 줄어들 게 뻔한 정책만 고집하고 있다는 것이다.,"They say they are sticking to policies that would almost reduce the number of job opportunities without considering the realities of Fast Employment and Filling For College Entrance, which are aimed at specialized high schools."
"올해에는 제품 디자인 부문에서 ‘넥쏘’와 ‘코나’ 2개 차종이 본상, 커뮤니케이션 부문에서는 ‘쏠라티 무빙호텔’이 최우수상을 수상하는 등 총 5개의 상을 받았다.","This year, two models, Nexo and Kona, received a total of five awards, including the main prize in the product design category and and Solarty Moving Hotel received the highest award in the communication section."
"성태윤 연세대 경제학부 교수는 “명목 GDP 성장률과 비교한다면, 당국으로서는 가계부채 관리 감독이 보다 용이해지는 면이 있다”고 해석했다.","Tae-yoon Seong, professor of department of economics at Yonsei University, said, “Compared with the nominal GDP growth rate, it is getting easier for the authorities to monitor and supervise household debt.”"
이번 세미나는 최 회장이 새로운 SK를 위해 제시한 딥 체인지(Deep Change) 실행력 강화를 주제로 열린다.,The seminar will be held under the theme of strengthening implementation power of the Deep Change offered by Chairman Choi for the new SK.
미국 기업 실적 호조를 도운 감세 효과의 약발도 떨어지고 있어서 내년 실적은 둔화할 것이라는 전망이 나온다.,"The effect of tax cuts, which helped boost U.S. corporate earnings, is also on the decline so analysts say that it will slow down next year."
쿠팡 관계자는 국민일보와의 통화에서 “쿠팡에서 직접 상품을 판매하는 경우와 달리 해당 상품은 판매업체에서 직접 올리기 때문에 적극적으로 제재할 방법이 없는 것은 사실”이라고 말했다.,"Unlike cases where the products are sold directly by Coupang, there is no way to actively sanction them because they are directly posted by the vendor."" a Coupang official said in a telephone interview with the Kookmin Ilbo."
"특히 4인 이상 소규모 단체 고객이 상품 출시 전보다 크게 늘어났으며, 넷이서 5만원 상품으로 약 1000명의 신규수요가 발생한 것으로 코레일은 보고 있다.","In particular, small group customers with more than four employees increased significantly before the launch of the product, and about 1,000 new people were in demand due to the 50,000 won net worth of products for four people, according to KORAIL."
"박 의원은 “협력업체 고위직의 친·인척이 비정규직에 채용되거나, 공항 정규직을 노리고 협력업체 정규직에서 공항 비정규직으로 이직한 사례도 확인됐다”고 말했다.","It has also been confirmed that relatives of high-ranking business partners were hired by irregular workers, or that they moved from full-time employees of their suppliers to non-regular workers at the airport in search of regular jobs at the airport, lawmaker Park said."
"총 급여액이 연 7000만원 이하인 직장인은 급여액의 25%를 초과해 카드를 긁은 금액(초과분)에 대해 체크카드는 30%, 신용카드는 15%를 공제받는다.",Employees with a total salary of less than 70 million won a year will receive 30% debit card deduction and a 15% credit card deduction for the amount of card exceeded of 25% of salary.
홍남기 신임 부총리 겸 기획재정부 장관 후보자가 기자간담회에서 “내년에도 경제 상황이 쉽게 개선되리라고는 생각하지 않는다”며 경제 상황을 엄중히 보고 있다는 입장을 밝혔다.,"""I do not think the economic situation will improve easily next year."" a new nominee for deputy prime minister and minister of Ministry of Economy and Finance, Hong Nam-ki, expressed his position that he is taking a serious look at the economic situation in a press conference."
시장에 불안이 확산되는 것을 막기 위한 메시지라는 분석도 있지만 정부가 낙관적 경기인식을 바탕으로 실기하는 것 아니냐는 우려도 나온다.,"Some analysts say the message is aimed at preventing unrest from spreading in the market, but some worry that the government may be making actual tests based on its optimistic perception of the economy."
인공지능(AI) 개발기업 대표를 지냈던 이도헌 성우농장 대표는 “정부 주도의 스마트팜 기술은 농업인들이 쓰기에 불편하다”고 말했다.,"Lee Do-heon, head of Sungwoo Farm who served as CEO of AI development company, said, “Government-led smart farm technology is inconvenient for farmers to use.”"
이 전 회장은 간암 치료 등 건강상 이유로 2심이 진행 중이던 2012년 5월 보석으로 풀려났었다.,"Former President Lee was released on bail in May 2012, when second trial was going on due to health reasons such as liver cancer treatment."
지난해 11월 승무원 44명을 태우고 작전을 수행하다 실종된 아르헨티나 해군 잠수함 ‘ARA 산후안호’가 실종된 지 1년 만에 발견됐다.,"Last year, Argentine navy submarine, ARA San Juan, which has been missing after carrying out operation with 44 crews in last November, has been discovered since it has disappeared for 1 year."
한국 기업들이 경쟁에서 뒤처지지 않도록 정부가 민간 클라우드 시장 활성화에 박차를 가해야 한다는 지적도 제기된다.,Some point out that the government should step up efforts to revitalize the private cloud market so that Korean companies will not fall behind in the competition.
몸에 달라붙는 삼각팬티인 자키(jockey)나 꽉 맞는 사각팬티인 브리프(briefs)는 고환을 둘러싸고 있는 음낭을 몸에 밀착시킴으로써 체온이 전달돼 고환의 온도를 올라가게 한다.,"Jockey, a tight-fitting triangular panty or briefs, a tight-fitting boxer short, attaches the scrotum that surrounds the testicles to the body, thereby transferring body temperature and raising the temperature of the testicles."
"튠라이너와 튠바디는 전세계 최초로 종파, 횡파가 결합되어 3차원으로 작용하는 초음파 기술력으로 이를 ‘3D 입체초음파’라 한다.","Tuneliner and TuneBody are the world's first ultrasound technologies that combine sects and transverse waves and act in three dimensions, called 3D Stereophonic Waves."
페미니스트를 자처한 연습생 한서희가 워마드 운영자 A씨의 체포 소식을 놓고 신동욱 공화당 총재와 설전을 벌였다.,"Han Seo-hee, calling herself as a feminist, had a debate with Republican Governor Shin Dong-wook over the news of the arrest of A who is the manager of Womad."
독일 막스플랑크협회 연구진은 살이 찔수록 뇌의 노화가 촉진돼 문제해결 능력이 둔화될 수 있다는 새로운 연구결과를 공개했다.,Researchers at the Max Planck Society in Germany have published new findings that gaining weight can stimulate brain aging and slow problem-solving ability.
이 연구결과로 인해 과거 캠브리지 대학 연구팀이 밝혀낸 비만과 (뇌·척수의) 백질세포의 감소 간 상간관계 가설은 더 힘을 얻게 됐다.,The study further strengthened the hypothesis of a correlation between obesity and a decrease in white blood cells (brain and spinal cord) found by the Cambridge University research team.
"그 동안 기기에 맞춰 치료를 받아야 했다면, 튠 시술은 시술 깊이를 조절 할 수 있어 환자 개인에게 알맞은 치료를 제공하는 것이 장점이다.","If you have to be treated according to the instrument in the meantime, the tuning procedure can adjust the depth of the procedure to provide the appropriate treatment for the individual patient."
탐사선에는 유진 박사가 쓴 13쪽 분량의 태양풍 관련 논문 파일과 태양 탐사 성공을 기원하는 113만7202명의 이름을 담은 메모리 카드도 실려 있다.,"The probe also carries a 13-page paper on solar wind written by Dr. Eugene and a memory card containing the names of 1,137,202 people wishing for the success of solar exploration."
프로듀스 48 참가자 시로마 미루는 14일 가수 겸 배우 설리가 자신의 인스타그램에 ‘기림의 날’을 소개하는 글을 올리자 팔로우를 끊었다.,"Shiroma Miru, one of the participants of Produce 48, stopped following singer and actress Sulli when she uploaded a post introducing The Day of Memorizing on her Instagram on the 14th. "
흰동가리는 약 40여 년 전에 해수관상어 중 가장 먼저 인공번식 기술이 개발된 이후 대량생산 기술이 상용화되면서 우리 주변에서 흔히 접할 수 있는 대표적인 관상어가 되었다.,"Clownfish became the representative ornamental fish that can be commonly found around us, since the first artificial breeding technology was developed about 40 years ago."
블랙핑크가 지난 6월 발표한 ‘뚜두뚜두’는 유튜브 공개 24시간 만에 가장 많이 본 뮤직비디오 역대 2위에 오르기도 했다.,The DDU-DU DDU-DU released by Black Pink in June also ranked second in the history of music videos that it has seen the most in 24 hours after the release on Youtube. 
일본 구글 사이트에 ‘태극기’를 검색하자 일본 군국주의를 상징하는 깃발인 전범기(욱일기)와 태극기가 합성된 이미지가 등장한다는 제보가 계속되고 있다.,"After searching for Taegukgi on a Google site in Japan, reports are continuing that the image of a combination of a war criminal flag and a Taegeukgi, a flag symbolizing Japanese militarism, is emerging."
"롯데백화점은 로사가 다음 달부터 ‘KT 기가지니’의 스마트 스피커를 통해 전국 롯데백화점의 영업시간, 식당가, 행사 등 쇼핑 정보를 안내하는 서비스를 제공한다고 16일 밝혔다.","Lotte Department Store said on the 16th that Rosa will offer a service that will guide shopping information such as business hours, restaurants and events at Lotte Department Store across the country through its smart speakers of KT Giga Ginie starting next month."
온·오프라인을 아우르는 거래처 확대로 스마일페이 누적 거래액은 2017년 말 기준 10조원에 달한 것으로 업계는 추정하고 있다.,Industries estimate that the amount of accumulated transactions of SmilePay reached 10 trillion won as of the end of 2017 due to the expansion of customers that cover online and offline.
애플은 이미 소화면 스마트폰 정책을 깬 상태라 스타일러스펜에 대한 부정적 인식도 얼마든지 바꿀 수 있다는게 업계의 분석이다.,"While Apple has already broken the small-screen smartphone policy, the industry says it can change the negative perception of the stylus pen."
이들은 지난 3월 김씨의 폭로 직후부터 무죄가 선고된 지난 14일 1심 재판까지 안 전 지사 관련 기사에 김씨를 비판하는 댓글을 단 혐의를 받고 있다.,"They are suspected of posting comments criticizing Kim in articles related to the former Governor Ahn from shortly after Kim's disclosure in March to the first trial on the 14th, when he was acquitted."
이번 투자는 정의선 현대차 부회장이 지난 5월 ‘모비스 프로젝트’를 발표한 이후 나온 첫 가시적 성과다.,The investment is the first tangible result since Hyundai Motor Vice Chairman Chung Eui-sun announced the Mobis Project in May.
페이스북은 지난 3월 8700만여명의 사용자 정보가 유출된 케임브리지 애널리티카 사태로 창사 이래 최대의 위기를 맞은 이후 사용자 정보를 공유하는 애플리케이션 단속을 시작했다.,"Facebook began cracking down on applications sharing user information after it faced its biggest crisis, Cambridge Analytica scandal in which more than 87 million users were leaked in March, since its founding."
"빅데이터 분석 플랫폼 ‘디에이피’는 데이터 수집부터 분석, 시각화까지 빅데이터 처리와 분석이 가능하고 AI를 활용한 신규 서비스 개발 환경도 제공한다.",Big data analysis platform called DAP can handle and analyze big data from data collection to analysis and visualization and also provides the environment for developing new services using AI.
